"/media/emoc/EXT_A/BRUT/AK0208/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0208/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0352/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0352/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0352/.DS_Store";"";"application/octet-stream";"Apple Desktop Services Store"
"/media/emoc/EXT_A/BRUT/AK0352/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0179/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0179/SUZHUN /Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0179/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0186/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0186/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0186/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0239/REPORTAJOU LOU/archeologiezh erwan chartier/kinnig archeologiezh erwan 2";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0239/REPORTAJOU LOU/archeologiezh erwan chartier/kinnig archeologiezh erwan";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0231/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0231/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0157/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0157/Istorioù Erell/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0157/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0157/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0701/CONV/016.wav";"wav";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/GENVER 2003/MARIE GWILHERM/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/GENVER 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/10 03 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/MONEIZ/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/13 03 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/03 03 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/TREDAN/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/27 03 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/06 03 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/31 03 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/17 03 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MEURZH 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/ C'HWEVRER 2003 MAT/17 02 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/ C'HWEVRER 2003 MAT/SKEUD 6/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/ C'HWEVRER 2003 MAT/SKEUD 7/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/ C'HWEVRER 2003 MAT/20 02 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/ C'HWEVRER 2003 MAT/SKEUD 5/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/ C'HWEVRER 2003 MAT/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/EBREL 2003 MAT/03 04 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/EBREL 2003 MAT/SKEUD 28  04 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/EBREL 2003 MAT/14 04 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/EBREL 2003 MAT/24 04 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/EBREL 2003 MAT/17 04 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/EBREL 2003 MAT/10 04 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/EBREL 2003 MAT/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/MAE 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/KERZU 2002/SOAZ LOAIEC/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/KERZU 2002/MELLOUET/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/KERZU 2002/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/REOU ROLAND/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/SIZHUN 9-15_06_03/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/SIZHUN 23-29_06_03/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/sizhun 02-08_06_03/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/SIZHUN 16-22_6_03/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/SKEUD AN AMZER/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/TENZOR AR BREZONEG/J-Y PLOURIN-AR FEULSTER/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/TENZOR AR BREZONEG/Teñzorioù A.Deshayes/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/TENZOR AR BREZONEG/Teñzorioù R.Tremel/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/TENZOR AR BREZONEG/Teñzorioù Gil Penneg`/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0416/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0683/NUM/013.aea";"aea";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0612/CONV/032.wav";"wav";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0316/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0316/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0576/NUM/002.aea";"aea";"inode/x-empty";"empty"
